PERMITENTRANCEID,PERMITENTRANCEZONEID,ZONE
"437","53974","Beck Lake"
"389","53975","Backcountry"
"597","53976","Sand Point Lake"
"390","53977","Kabetogama"
"588","53978","Backcountry"
"589","53979","Rainy West"
"590","53980","Rainy West"
"591","53981","Rainy West"
"391","53982","Sand Point Lake"
"592","53983","Sand Point Lake"
"593","53984","Kabetogama"
"392","53985","Sand Point Lake"
"393","53986","Kabetogama"
"394","53987","Rainy West"
"395","53988","Backcountry"
"633","53989","Rainy East"
"634","53990","Rainy East"
"635","53991","Backcountry"
"636","53992","Backcountry"
"750","53993","Sand Point Lake"
"527","53994","Backcountry"
"528","53995","Backcountry"
"529","53996","Rainy West"
"668","53997","Rainy West"
"530","53998","Sand Point Lake"
"669","53999","Rainy West"
"670","54000","Kabetogama"
"531","54001","Backcountry"
"666","54002","Rainy West"
"667","54003","Namakan"
"502","54004","Backcountry"
"503","54005","Rainy East"
"504","54006","Namakan"
"505","54007","Backcountry"
"661","54008","Rainy West"
"662","54009","Sand Point Lake"
"163","54010","Rainy East"
"664","54011","Namakan"
"665","54012","Kabetogama"
"637","54013","Kabetogama"
"641","54014","Rainy West"
"642","54015","Rainy West"
"643","54016","Kabetogama"
"644","54017","Rainy East"
"645","54018","Sand Point Lake"
"396","54019","Backcountry"
"631","54020","Sand Point Lake"
"632","54021","Namakan"
"397","54022","Rainy East"
"646","54023","Kabetogama"
"398","54024","Backcountry"
"640","54025","Rainy West"
"630","54026","Rainy East"
"399","54027","Kabetogama"
"627","54028","Rainy East"
"628","54029","Kabetogama"
"629","54030","Sand Point Lake"
"400","54031","Rainy West"
"622","54032","Kabetogama"
"623","54033","Sand Point Lake"
"624","54034","Kabetogama"
"625","54035","Kabetogama"
"626","54036","Sand Point Lake"
"401","54037","Sand Point Lake"
"616","54038","Namakan"
"617","54039","Namakan"
"618","54040","Sand Point Lake"
"619","54041","Rainy West"
"620","54042","Kabetogama"
"621","54043","Rainy East"
"402","54044","Kabetogama"
"594","54045","Namakan"
"595","54046","Sand Point Lake"
"596","54047","Sand Point Lake"
"582","54048","Sand Point Lake"
"583","54049","Kabetogama"
"584","54050","Namakan"
"585","54051","Sand Point Lake"
"586","54052","Sand Point Lake"
"587","54053","Namakan"
"576","54054","Rainy West"
"577","54055","Namakan"
"578","54056","Namakan"
"579","54057","Namakan"
"580","54058","Sand Point Lake"
"581","54059","Namakan"
"571","54060","Namakan"
"572","54061","Namakan"
"573","54062","Namakan"
"574","54063","Namakan"
"575","54064","Namakan"
"403","54065","Kabetogama"
"404","54066","Rainy East"
"684","54067","Namakan"
"405","54068","Backcountry"
"524","54069","Backcountry"
"672","54070","Namakan"
"525","54071","Rainy West"
"671","54072","Namakan"
"526","54073","Rainy East"
"164","54074","Namakan"
"657","54075","Sand Point Lake"
"165","54076","Rainy West"
"489","54077","Rainy East"
"658","54078","Sand Point Lake"
"659","54079","Sand Point Lake"
"660","54080","Backcountry"
"654","54081","Sand Point Lake"
