ENTITYID,ENTITYTYPE,EVENTADAACCESS,EVENTAGEGROUP,EVENTCOMMENTS,EVENTDESCRIPTION,EVENTEMAIL,EVENTENDDATE,EVENTFEEDESCRIPTION,EVENTFREQUENCYRATEDESCRIPTION,EVENTID,EVENTNAME,EVENTREGISTRATIONREQUIRED,EVENTSCOPEDESCRIPTION,EVENTSTARTDATE,EVENTTYPEDESCRIPTION,EVENTURLADDRESS,EVENTURLTEXT,LASTUPDATEDDATE,SPONSORCLASSTYPE,SPONSOREMAIL,SPONSORNAME,SPONSORPHONE,SPONSORURLADDRESS,SPONSORURLTEXT
"14529","RecArea","","","Thursday through Monday 9 a.m. to 4 p.m.","Thursday through Monday 9 a.m. to 4 p.m.","","2017-10-31 00:00:00","Thursday through Monday 9 a.m. to 4 p.m.","Thursday through Monday 9 a.m. to 4 p.m.","10869","Magnolia's Street Food","0","Thursday through Monday 9 a.m. to 4 p.m.","2017-03-01 00:00:00","Thursday through Monday 9 a.m. to 4 p.m.","","","2017-01-06","","","","","",""
"14748","RecArea","","","The Roundup consists of two separate events: The Push and The Working.","The Roundup consists of two separate events: The Push and The Working.","","","The Roundup consists of two separate events: The Push and The Working.","The Roundup consists of two separate events: The Push and The Working.","10870","Bison Roundup","0","The Roundup consists of two separate events: The Push and The Working.","","The Roundup consists of two separate events: The Push and The Working.","","Park Events","2017-01-31","","","","","http://stateparks.utah.gov/parks/antelope-island/events/",""
